DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,PETAL_LOC,DEVICE_LOC,FVC_ID,SLIT_ID,SLITBLOCK_ID,BLOCKFIBER_ID,SPECTRO_ID,ENABLED
M08475,POS,1,22,8475,3,349,1349,,,,,N/A
M02072,POS,1,23,2072,3,303,1303,,,,,N/A
M05893,POS,1,23,5893,3,265,1265,,,,,N/A
M06150,POS,1,23,6150,3,244,1244,,,,,N/A
M06528,POS,1,23,6528,3,302,1302,,,,,N/A
M06553,POS,1,23,6553,3,283,1283,,,,,N/A
M07063,POS,1,23,7063,3,179,1179,,,,,N/A
M08210,POS,1,23,8210,3,225,1225,,,,,N/A
M06530,POS,1,23,6530,3,250,1250,,,,,N/A
M08211,POS,1,23,8211,3,243,1243,,,,,N/A
M08330,POS,1,23,8330,3,194,1194,,,,,N/A
P085,FIF,1,10,10085,3,11,1011,,,,,FALSE
P127,FIF,1,17,10127,3,439,1439,,,,,TRUE
P136,FIF,1,17,10136,3,482,1482,,,,,TRUE
P137,FIF,1,16,10137,3,517,1517,,,,,TRUE
P138,FIF,1,15,10138,3,321,1321,,,,,FALSE
P139,FIF,1,13,10139,3,239,1239,,,,,TRUE
P140,FIF,1,14,10140,3,496,1496,,,,,FALSE
P141,FIF,1,13,10141,3,75,1075,,,,,TRUE
P142,FIF,1,12,10142,3,150,1150,,,,,TRUE
P143,FIF,1,14,10143,3,534,1534,,,,,FALSE
P149,GIF,1,22,10149,3,541,1541,,,,,TRUE
P152,GIF,1,22,10152,3,542,1542,,,,,TRUE
