,exp_id,date,n_iterations,ra,dec,mountha,mountaz,zd,airmass,guide_rms,guide_rms_ra,guide_rms_dec,centroids_rms_ra,centroids_rms_dec,centroids_std_ra,centroids_std_dec,field_rotation_rate,field_rotation_init,field_rotation_rate_slope_std,field_rotation_rate_linregress_std,psf_fwhm,psf_fwhm_std,psf_fit,effective_seeing
190,53061,2020-03-05 03:12:35.953539,40,105.001358,38.00096,-6.828811,40.906285,8.226434,1.010377,171.65402056067828,127.28523829432991,115.16757741222749,63.037812634488255,86.40138978058035,10.514547888096935,15.356393501787124,-0.1089726401759979,-2.5747079417098977,0.22590100275208114,0.44279669739736516,0.9223822170149132,0.05822715646929112,0.030389510492636794,1.0070641346615608
191,52978,2020-03-04 10:40:37.145105,207,157.9906,24.9967,44.529728,271.483779,39.479723,1.29478,180.93693889627136,143.12808108563127,110.69113903966296,213.89615214969334,172.33122602841536,78.665930842758,60.21284447405398,0.15954396822877312,1.8037501985988897,0.1538246164913401,1.5365756385520597,1.3952009166536146,0.13877960009114537,0.08368089133203488,1.4588093039271715
192,52961,2020-03-04 09:48:35.758708,210,167.996392,27.59891,21.367179,262.265668,19.017078,1.057615,194.27385777588432,146.89411577703476,127.13949254738918,68.63226734809211,51.77462369250777,16.15294086885363,20.291137005621174,0.005497815653792193,3.204428791974265,0.12560581472800106,1.272518744200674,1.2668789296598442,0.1746471693574486,0.05083209496997528,1.3469484553964888
193,52942,2020-03-04 08:51:36.060833,129,118.980879,49.99973,59.452848,310.747636,46.945838,1.463248,144.90671586211394,111.48493962953243,92.56924185572078,207.88526910627135,128.0956911715235,78.01489128204057,41.739570874484514,0.19638314693891903,0.5298598049863323,0.19475270342321815,1.2158681383483951,1.3541979853860802,0.14607243348482368,0.04972315198218173,1.3965276842355059
194,52940,2020-03-04 08:26:46.912133,127,118.983608,50.00068,53.345951,310.905319,43.023089,1.366744,180.59911416449046,129.2306563643656,126.15655945147644,173.2375534588899,118.26263463195447,49.9284664896624,35.29738512862366,0.10160755419895309,2.2464542005958688,0.1546420072267878,0.9454556145928211,1.502518980261473,0.22766757309647695,0.0420540243159505,1.5615457113610822
195,52938,2020-03-04 08:03:39.226972,127,118.986008,50.00139,47.519315,311.548751,39.302814,1.291512,174.68202013534497,133.21165268966368,112.99762717089901,173.0461453858773,102.73235084362368,48.21940462488731,30.094205367860724,0.13700130689377304,1.793353408587124,0.14558135531626704,0.8943418772085892,1.3554150344828044,0.14010491339501258,0.040071913626960255,1.416458396839356
196,52936,2020-03-04 07:40:24.369174,128,118.98823,50.001941,41.657343,312.805973,35.614157,1.229497,130.57644638676734,99.19565224658292,84.91425631995678,152.79739800545642,79.06760583587372,36.44116600517076,20.111741176208323,0.09022886830714193,2.0092102007041417,0.11164223663422358,0.6900907796926886,1.1182477550728915,0.12525068197040662,0.026391381717772007,1.1597518997100986
197,52934,2020-03-04 07:16:53.538062,128,118.990279,50.00236,35.774445,314.855644,32.009545,1.178878,111.56427460823443,78.31910525500722,79.45253376020581,138.69801723299233,63.608809583685115,32.780179451788584,16.88504043434794,0.07516089951279856,1.595743956060427,0.11786977500125768,0.7271728352511477,1.0164301160598426,0.09731606940042928,0.022549195999461587,1.0498327074978724
198,52932,2020-03-04 06:53:29.389521,127,118.99215,50.00268,29.923269,317.914489,28.579771,1.138446,149.0407396802317,103.81741820764445,106.93496042515582,148.10417817145736,80.69447170778125,30.020434352036876,20.649927988172358,0.0961075768574014,2.5472830815413916,0.104344766552842,0.6416078011596111,1.2417428349973532,0.16642979147956816,0.030439619708189175,1.290387956396802
199,52927,2020-03-04 06:14:05.232367,118,133.419092,11.646221,6.006039,196.572225,21.056841,1.071409,254.21169751987904,198.37799643771535,158.96464287789357,104.91043360800882,90.60873232175732,40.44732035426452,30.075353923996072,0.10708724147121228,-0.1260833647263544,0.21546376942982415,1.2262285529318395,1.8127973730888272,0.25237573809277836,0.10580545973441327,1.9090792440469513
