col0,Petal ID,Petal Loc ID,Device Loc ID,Device Type,DOTID,XPL,YPL,ZPL,X MNT,Y MNT,Z MNT,FCL Source,Proj Distance,Provenance,Notes,XFP,YFP,ZFP,LOCATION,XPIX,YPIX
1115,4,0,239,FIF,4,215.529302,149.8200052,-7.6704836,212.22745600000002,147.452551,-93.968055,Measured,86.5,"DESI-4900, DESI-3543",,75.89789265633867,-251.2693648336951,-7.6704836,239,2482.122,1422.539
1113,4,0,239,FIF,2,214.8957638,150.5951363,-7.6932115,212.22745600000002,147.452551,-93.968055,Measured,86.5,"DESI-4900, DESI-3543",,76.83101134688872,-250.90675156533243,-7.6932115,239,2476.124,1424.876
1679,5,1,496,FIF,2,329.9105363,185.7184779,-16.065762,324.22842,181.959171,-102.218599,Measured,86.5,"DESI-4881, DESI-3543",,278.62684824033977,-256.349405130872,-16.065762,1496,1207.503,1427.78
3867,9,9,239,FIF,2,216.3975104,149.8468863,-7.7472584,212.227169,147.425269,-93.972373,Measured,86.5,"DESI-4890, DESI-3543",,-87.05720662601897,-248.4217284723807,-7.7472584,9239,3533.424,1435.49
3871,9,9,321,FIF,2,304.9108676,86.9445738,-11.2426193,298.922963,84.891334,-97.372961,Measured,86.5,"DESI-4890, DESI-3543",,-195.63921291040774,-249.54566437776148,-11.2426193,9321,4223.442,1437.194
3875,9,9,439,FIF,2,409.7667694,15.1970939,-19.079445,400.512672,13.876835,-104.919451,Measured,86.5,"DESI-4890, DESI-3543",,-322.6419872748079,-253.1172631846557,-19.079445,9439,5001.707,1436.772
3869,9,9,239,FIF,4,215.3982055,149.8291717,-7.6899775,212.227169,147.425269,-93.972373,Measured,86.5,"DESI-4890, DESI-3543",,-86.25908750412107,-247.82012232424213,-7.6899775,9239,3528.353,1439.192
3868,9,9,239,FIF,3,214.3990609,149.8069247,-7.6590788,212.227169,147.425269,-93.972373,Measured,86.5,"DESI-4890, DESI-3543",,-85.46376168914134,-247.21494325260718,-7.6590788,9239,3523.298,1442.902
3873,9,9,321,FIF,4,304.1266663,86.337977,-11.1601001,298.922963,84.891334,-97.372961,Measured,86.5,"DESI-4890, DESI-3543",,-195.3612078180363,-248.59401080355101,-11.1601001,9321,4221.883,1443.025
3877,9,9,439,FIF,4,409.3838308,14.2686524,-19.0111827,400.512672,13.876835,-104.919451,Measured,86.5,"DESI-4890, DESI-3543",,-322.87778295755334,-252.14102244268128,-19.0111827,9439,5003.404,1442.728
